input_city|city|country|month|high|low
Děčín|Děčín|Czechia|June|23|13
Děčín|Děčín|Czechia|July|25|15
Děčín|Děčín|Czechia|August|25|15
Děčín|Děčín|Czechia|September|19|11
Děčín|Děčín|Czechia|October|13|7
Děčín|Děčín|Czechia|November|7|2
Děčín|Děčín|Czechia|December|3|-1
Dolní Březany|Dolní Břežany|Czechia|January|2|-4
Dolní Březany|Dolní Břežany|Czechia|February|4|-4
Dolní Březany|Dolní Břežany|Czechia|March|8|0
Dolní Březany|Dolní Břežany|Czechia|April|14|3
Dolní Březany|Dolní Břežany|Czechia|May|19|7
Dolní Březany|Dolní Břežany|Czechia|June|22|11
Dolní Březany|Dolní Břežany|Czechia|July|24|13
Dolní Březany|Dolní Břežany|Czechia|August|24|12
Dolní Březany|Dolní Břežany|Czechia|September|19|9
Dolní Březany|Dolní Břežany|Czechia|October|13|4
Dolní Březany|Dolní Břežany|Czechia|November|6|0
Dolní Březany|Dolní Břežany|Czechia|December|3|-3
Duchcov|Duchcov|Czechia|January|2|-2
Duchcov|Duchcov|Czechia|February|4|-2
Duchcov|Duchcov|Czechia|March|8|1
Duchcov|Duchcov|Czechia|April|14|5
Duchcov|Duchcov|Czechia|May|20|10
Duchcov|Duchcov|Czechia|June|22|13
Duchcov|Duchcov|Czechia|July|24|15
Duchcov|Duchcov|Czechia|August|24|15
Duchcov|Duchcov|Czechia|September|19|11
Duchcov|Duchcov|Czechia|October|13|7
Duchcov|Duchcov|Czechia|November|7|2
Duchcov|Duchcov|Czechia|December|3|-1
Dvůr Králové|Dvůr Králové nad Labem|Czechia|January|1|-5
Dvůr Králové|Dvůr Králové nad Labem|Czechia|February|2|-4
Dvůr Králové|Dvůr Králové nad Labem|Czechia|March|8|0
Dvůr Králové|Dvůr Králové nad Labem|Czechia|April|13|3
Dvůr Králové|Dvůr Králové nad Labem|Czechia|May|19|7
Dvůr Králové|Dvůr Králové nad Labem|Czechia|June|21|10
Dvůr Králové|Dvůr Králové nad Labem|Czechia|July|23|12
Dvůr Králové|Dvůr Králové nad Labem|Czechia|August|23|12
Dvůr Králové|Dvůr Králové nad Labem|Czechia|September|19|8
Dvůr Králové|Dvůr Králové nad Labem|Czechia|October|12|4
Dvůr Králové|Dvůr Králové nad Labem|Czechia|November|5|0
Dvůr Králové|Dvůr Králové nad Labem|Czechia|December|2|-3
Frýdek-Místek|Frýdek-Místek|Czechia|January|3|-2
Frýdek-Místek|Frýdek-Místek|Czechia|February|4|-2
Frýdek-Místek|Frýdek-Místek|Czechia|March|7|1
Frýdek-Místek|Frýdek-Místek|Czechia|April|12|5
Frýdek-Místek|Frýdek-Místek|Czechia|May|18|10
Frýdek-Místek|Frýdek-Místek|Czechia|June|21|13
Frýdek-Místek|Frýdek-Místek|Czechia|July|23|15
Frýdek-Místek|Frýdek-Místek|Czechia|August|23|15
Frýdek-Místek|Frýdek-Místek|Czechia|September|18|11
Frýdek-Místek|Frýdek-Místek|Czechia|October|13|7
Frýdek-Místek|Frýdek-Místek|Czechia|November|7|3
Frýdek-Místek|Frýdek-Místek|Czechia|December|4|-1
Frýdlant|Frýdlant|Czechia|January|1|-4
Frýdlant|Frýdlant|Czechia|February|3|-4
Frýdlant|Frýdlant|Czechia|March|8|-1
Frýdlant|Frýdlant|Czechia|April|13|2
Frýdlant|Frýdlant|Czechia|May|18|7
Frýdlant|Frýdlant|Czechia|June|21|10
Frýdlant|Frýdlant|Czechia|July|23|12
Frýdlant|Frýdlant|Czechia|August|23|11
Frýdlant|Frýdlant|Czechia|September|19|8
Frýdlant|Frýdlant|Czechia|October|13|5
Frýdlant|Frýdlant|Czechia|November|6|1
Frýdlant|Frýdlant|Czechia|December|3|-2
Habartov|Habartov|Czechia|January|1|-5
Habartov|Habartov|Czechia|February|3|-4
Habartov|Habartov|Czechia|March|8|-1
Habartov|Habartov|Czechia|April|13|2
Habartov|Habartov|Czechia|May|18|6
Habartov|Habartov|Czechia|June|21|10
Habartov|Habartov|Czechia|July|23|11
Habartov|Habartov|Czechia|August|23|11
Habartov|Habartov|Czechia|September|19|8
Habartov|Habartov|Czechia|October|13|4
Habartov|Habartov|Czechia|November|6|0
Habartov|Habartov|Czechia|December|2|-3
Havířov|Havířov|Czechia|January|1|-5
Havířov|Havířov|Czechia|February|3|-4
Havířov|Havířov|Czechia|March|8|-1
Havířov|Havířov|Czechia|April|14|3
Havířov|Havířov|Czechia|May|19|7
Havířov|Havířov|Czechia|June|23|11
Havířov|Havířov|Czechia|July|25|12
Havířov|Havířov|Czechia|August|25|12
Havířov|Havířov|Czechia|September|19|8
Havířov|Havířov|Czechia|October|14|4
Havířov|Havířov|Czechia|November|7|0
Havířov|Havířov|Czechia|December|3|-4
Holesov|Holesov|Czechia|January|1|-5
Holesov|Holesov|Czechia|February|4|-3
Holesov|Holesov|Czechia|March|9|0
Holesov|Holesov|Czechia|April|15|4
Holesov|Holesov|Czechia|May|20|8
Holesov|Holesov|Czechia|June|23|11
Holesov|Holesov|Czechia|July|25|13
Holesov|Holesov|Czechia|August|25|13
Holesov|Holesov|Czechia|September|20|9
Holesov|Holesov|Czechia|October|14|5
Holesov|Holesov|Czechia|November|7|1
Holesov|Holesov|Czechia|December|2|-3
Horní Slavkov|Horní Slavkov|Czechia|January|1|-5
Horní Slavkov|Horní Slavkov|Czechia|February|3|-4
Horní Slavkov|Horní Slavkov|Czechia|March|7|-1
Horní Slavkov|Horní Slavkov|Czechia|April|13|2
Horní Slavkov|Horní Slavkov|Czechia|May|17|6
Horní Slavkov|Horní Slavkov|Czechia|June|20|9
Horní Slavkov|Horní Slavkov|Czechia|July|23|11
Horní Slavkov|Horní Slavkov|Czechia|August|22|11
Horní Slavkov|Horní Slavkov|Czechia|September|17|7
Horní Slavkov|Horní Slavkov|Czechia|October|11|3
Horní Slavkov|Horní Slavkov|Czechia|November|5|0
Horní Slavkov|Horní Slavkov|Czechia|December|1|-4
Hostivice|Hostivice|Czechia|January|2|-5
Hostivice|Hostivice|Czechia|February|3|-4
Hostivice|Hostivice|Czechia|March|8|-1
Hostivice|Hostivice|Czechia|April|14|2
Hostivice|Hostivice|Czechia|May|19|7
Hostivice|Hostivice|Czechia|June|22|10
Hostivice|Hostivice|Czechia|July|24|12
Hostivice|Hostivice|Czechia|August|24|12
Hostivice|Hostivice|Czechia|September|19|8
Hostivice|Hostivice|Czechia|October|13|4
Hostivice|Hostivice|Czechia|November|6|0
Hostivice|Hostivice|Czechia|December|3|-3
Hradec Králové|Hradec Kralove|Czechia|January|1|-4
Hradec Králové|Hradec Kralove|Czechia|February|3|-3
Hradec Králové|Hradec Kralove|Czechia|March|8|0
Hradec Králové|Hradec Kralove|Czechia|April|13|3
Hradec Králové|Hradec Kralove|Czechia|May|19|8
Hradec Králové|Hradec Kralove|Czechia|June|22|11
Hradec Králové|Hradec Kralove|Czechia|July|23|13
Hradec Králové|Hradec Kralove|Czechia|August|24|12
Hradec Králové|Hradec Kralove|Czechia|September|19|9
Hradec Králové|Hradec Kralove|Czechia|October|13|4
Hradec Králové|Hradec Kralove|Czechia|November|6|0
Hradec Králové|Hradec Kralove|Czechia|December|2|-2
Ivančice|Ivancice|Czechia|January|1|-5
